,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
108937,5105500,4235500,b'Betula pubescens',True,-2.813901901245117,1.3828486204147339,2.449098587036133,0.41059768199920654,-4.1794586181640625,b'Betula pubescens'
761,4317500,4138500,b'Betula pubescens',True,-0.7848203182220459,0.2718040347099304,-0.48145991563796997,0.9272991418838501,-0.6190389394760132,b'Pinus sylvestris'
95323,4168500,4365500,b'Betula pubescens',True,-1.5426386594772339,1.4780124425888062,0.2664308547973633,0.2735546827316284,-2.2512147426605225,b'Picea abies'
145153,4312500,4049500,b'Betula pubescens',True,-0.49496474862098694,0.42835280299186707,-0.8076650500297546,0.9544358253479004,-0.609437108039856,b'Pinus sylvestris'
30468,4697500,5219500,b'Betula pubescens',False,-3.101512908935547,0.5246602892875671,2.111567974090576,0.9966089725494385,-2.715874433517456,b'Betula pubescens'
112125,4529500,4971500,b'Betula pubescens',False,0.15448418259620667,0.3531774580478668,-1.4702210426330566,0.27696502208709717,0.3584381937980652,b'Quercus robur'
187425,4663500,5191500,b'Betula pubescens',False,-3.391561269760132,1.2595877647399902,2.724214792251587,0.5691808462142944,-4.794575214385986,b'Betula pubescens'
39068,5165500,4826500,b'Betula pubescens',True,-2.6209874153137207,0.6876771450042725,1.9511160850524902,0.9523459672927856,-2.916980266571045,b'Betula pubescens'
23939,4312500,4290500,b'Betula pubescens',True,-3.152345657348633,0.6769253611564636,2.1716880798339844,0.9586388468742371,-2.935514211654663,b'Betula pubescens'
107047,4084500,4272500,b'Betula pubescens',True,-2.9742441177368164,0.6002572178840637,2.08225154876709,0.8949843049049377,-2.7520711421966553,b'Betula pubescens'
25014,4955500,4381500,b'Betula pubescens',True,-2.641502618789673,0.5240493416786194,1.7057442665100098,0.7877786755561829,-2.261108636856079,b'Betula pubescens'
97517,5124500,4628500,b'Betula pubescens',True,-2.9911949634552,0.5712856650352478,1.9663505554199219,0.927452027797699,-2.588277816772461,b'Betula pubescens'
78591,5187500,4709500,b'Betula pubescens',True,-2.9980177879333496,0.5775293111801147,1.9759368896484375,0.9238821864128113,-2.6040353775024414,b'Betula pubescens'
46134,4367500,4147500,b'Betula pubescens',True,-5.4844183921813965,0.7691918015480042,6.246509552001953,2.496988296508789,-8.608741760253906,b'Betula pubescens'
64196,5168500,4956500,b'Betula pubescens',True,-2.244596004486084,0.49354684352874756,1.4354534149169922,0.654190182685852,-1.9508284330368042,b'Betula pubescens'
57642,4288500,4063500,b'Betula pubescens',True,-1.1219890117645264,0.43232274055480957,0.27307069301605225,0.9422503709793091,-1.3788107633590698,b'Pinus sylvestris'
143794,4846500,4929500,b'Betula pubescens',True,-2.873147487640381,0.5526475310325623,1.9584388732910156,0.9020013809204102,-2.5898478031158447,b'Betula pubescens'
41478,5050500,4603500,b'Betula pubescens',False,-2.996427536010742,0.5711850523948669,1.9701714515686035,0.9301507472991943,-2.592463254928589,b'Betula pubescens'
55770,5218500,4761500,b'Betula pubescens',True,-3.1750903129577637,0.6706639528274536,2.1627116203308105,0.9314792156219482,-2.879155397415161,b'Betula pubescens'
70,4319500,4117500,b'Betula pubescens',True,-0.6686356663703918,0.4083656668663025,-0.4949924349784851,0.971103310585022,-0.8017151355743408,b'Pinus sylvestris'
138081,5049500,4662500,b'Betula pubescens',True,-2.7847793102264404,0.9487712383270264,1.9836602210998535,0.8776545524597168,-3.1162021160125732,b'Betula pubescens'
11705,4266500,4076500,b'Betula pubescens',True,-0.7211282253265381,0.514003574848175,-0.16968129575252533,0.839118480682373,-1.0463787317276,b'Pinus sylvestris'
50108,5203500,4785500,b'Betula pubescens',True,-2.8306474685668945,0.6064215302467346,1.8812882900238037,0.8222042322158813,-2.5238354206085205,b'Betula pubescens'
143882,2979500,3376500,b'Betula pubescens',True,-9.333248138427734,0.9899078011512756,8.04737663269043,3.1400411128997803,-9.805927276611328,b'Betula pubescens'
9026,4273500,4210500,b'Betula pubescens',True,-0.6856487989425659,-0.40790367126464844,1.0541563034057617,0.6670541167259216,-1.1875585317611694,b'Betula pubescens'
36994,5288500,4691500,b'Betula pubescens',True,-2.1072068214416504,0.5750117301940918,1.3583232164382935,0.5493127107620239,-1.9591730833053589,b'Betula pubescens'
60132,3158500,2332500,b'Betula pubescens',False,0.4239192306995392,-0.016835954040288925,-1.8645787239074707,-0.0969587117433548,0.9370605945587158,b'Quercus robur'
5951,2901500,2392500,b'Betula pubescens',True,0.3160230219364166,-0.010542158037424088,-1.1829934120178223,-0.11782945692539215,0.6349622011184692,b'Quercus robur'
87366,4477500,4835500,b'Betula pubescens',True,-3.4948534965515137,0.413579523563385,2.289937973022461,1.3509255647659302,-3.0279042720794678,b'Betula pubescens'
183306,4649500,5207500,b'Betula pubescens',True,-5.382097244262695,0.14804205298423767,3.818774938583374,2.5871801376342773,-5.578143119812012,b'Betula pubescens'
69144,4250500,3968500,b'Betula pubescens',False,-0.8966686725616455,0.9313027858734131,0.5582833290100098,0.43681246042251587,-1.896816372871399,b'Picea abies'
18398,4583500,4030500,b'Betula pubescens',False,-0.8128625750541687,0.9137563109397888,0.38808417320251465,0.28927674889564514,-1.4773011207580566,b'Picea abies'
73505,5006500,5060500,b'Betula pubescens',True,-2.7665975093841553,0.5560545921325684,1.9516477584838867,0.8254835605621338,-2.563199281692505,b'Betula pubescens'
14302,4904500,4413500,b'Betula pubescens',True,-2.948479175567627,-1.06266450881958,6.410496711730957,0.4682588577270508,-6.535469055175781,b'Betula pubescens'
30416,4232500,4232500,b'Betula pubescens',True,-3.2230119705200195,0.5957298278808594,2.23836612701416,1.0321476459503174,-2.936879873275757,b'Betula pubescens'
204737,4143500,3899500,b'Betula pubescens',True,-0.8225288987159729,0.34572529792785645,-0.17331071197986603,0.922213613986969,-0.9672751426696777,b'Pinus sylvestris'
42689,4423500,4242500,b'Betula pubescens',True,-2.1690311431884766,0.6740415096282959,1.4434096813201904,0.5327491760253906,-2.168524742126465,b'Betula pubescens'
161441,4626500,5095500,b'Betula pubescens',False,-2.4523468017578125,1.1878117322921753,2.2620768547058105,0.14658485352993011,-3.4656338691711426,b'Betula pubescens'
119136,5238500,4679500,b'Betula pubescens',False,-1.8960857391357422,0.5461861491203308,1.2372255325317383,0.6091583967208862,-1.9268802404403687,b'Betula pubescens'
223,3020500,3360500,b'Betula pubescens',True,0.34373989701271057,-0.0018585659563541412,-1.6779452562332153,-0.04141613841056824,0.8587541580200195,b'Quercus robur'
43549,5120500,4586500,b'Betula pubescens',True,-6.318737506866455,2.1205103397369385,5.37791633605957,1.4324731826782227,-8.658645629882812,b'Betula pubescens'
31424,5003500,4997500,b'Betula pubescens',False,-2.9087209701538086,0.5675417184829712,2.015562057495117,0.880370020866394,-2.651087522506714,b'Betula pubescens'
119339,4482500,4426500,b'Betula pubescens',False,-3.2292513847351074,0.5514585375785828,2.243896007537842,1.0447107553482056,-2.9114139080047607,b'Betula pubescens'
119894,4401500,4163500,b'Betula pubescens',True,-5.2520527839660645,1.8263756036758423,4.572094440460205,1.4351450204849243,-7.796932697296143,b'Betula pubescens'
55591,5134500,4312500,b'Betula pubescens',True,-5.0909247398376465,-0.9388233423233032,4.701512336730957,2.7956902980804443,-4.791397571563721,b'Betula pubescens'
98268,5246500,4525500,b'Betula pubescens',False,-2.2778213024139404,0.34377315640449524,1.5124244689941406,0.793769359588623,-1.9620217084884644,b'Betula pubescens'
29303,4652500,4096500,b'Betula pubescens',False,-0.2111751139163971,0.33054542541503906,-0.8294759392738342,0.659602165222168,-0.20358100533485413,b'Pinus sylvestris'
127277,2935500,2420500,b'Betula pubescens',True,-0.20535337924957275,0.30116143822669983,-0.8859235048294067,0.693263053894043,-0.1667363941669464,b'Pinus sylvestris'
5922,4746000,3261000,b'Betula pubescens',True,-0.3576814532279968,0.2213897705078125,-1.1573244333267212,0.8876475691795349,-0.0497441291809082,b'Pinus sylvestris'
26367,4218500,4410500,b'Betula pubescens',False,-2.9795074462890625,0.5768924951553345,1.9585392475128174,0.9176299571990967,-2.5852601528167725,b'Betula pubescens'
